itemName,categoryID,itemType,itemSKU,itemCode,itemDescription,itemPrice
3/4 Slv Gry/Blu (LG),269048,,846,846,3/4 Slv Gry/Blu (LG),31
3/4 Slv Gry/Blu (MED),269048,,845,845,3/4 Slv Gry/Blu (MED),31
3/4 Slv Gry/Blu (SM),269048,,844,844,3/4 Slv Gry/Blu (SM),31
3/4 Slv Gry/Blu (XL),269048,,847,847,3/4 Slv Gry/Blu (XL),31
3D Printed Key Chain,269048,,980,980,3D Printed Key Chain,8
Apron Navy/Leather,269048,,986,986,Apron Navy/Leather,29
Blk Sleeveless Star Tee - LG,269048,,757,757,Blk Sleeveless Star Tee - LG,29
Blk Sleeveless Star Tee - MED,269048,,756,756,Blk Sleeveless Star Tee - MED,29
Blk Sleeveless Star Tee - SM,269048,,755,755,Blk Sleeveless Star Tee - SM,29
Blk Sleeveless Star Tee - XL,269048,,758,758,Blk Sleeveless Star Tee - XL,29
Canvas Field Bag W/ Patches,269048,,988,988,Canvas Field Bag W/ Patches,27
